"ENSG_id","beta","HR","CI","wald.test.test","HR.pvalue.pvalue","wald.test","HR.pvalue","Symbol"
"ENSG00000260708.1",0.1,1.1,"(0.869-1.41)","0.68","0.411",0.68,0.411,"CTA-29F11.1"
"ENSG00000260257.2",0.11,1.1,"(0.894-1.39)","0.92","0.337",0.92,0.337,"RP5-1085F17.3"
"ENSG00000225361.3",0.17,1.2,"(0.929-1.51)","1.88","0.171",1.88,0.171,"PPP1R26-AS1"
"ENSG00000253106.1",0.047,1,"(0.83-1.32)","0.16","0.691",0.16,0.691,"RP11-158K1.3"
"ENSG00000188242.4",-0.068,0.93,"(0.787-1.11)","0.61","0.435",0.61,0.435,"PP7080"
"ENSG00000280693.1",0.034,1,"(0.92-1.16)","0.32","0.572",0.32,0.572,"SH3PXD2A-AS1"
"ENSG00000232956.7",0.21,1.2,"(0.915-1.67)","1.9","0.168",1.9,0.168,"SNHG15"
"ENSG00000269051.4",-0.021,0.98,"(0.914-1.05)","0.36","0.549",0.36,0.549,"CTD-2245F17.3"
"ENSG00000260244.1",-0.0046,1,"(0.879-1.13)","0.01","0.942",0.01,0.942,"RP11-588K22.2"
"ENSG00000268388.4",-0.054,0.95,"(0.847-1.06)","0.91","0.341",0.91,0.341,"FENDRR"
"ENSG00000198788.8",-0.022,0.98,"(0.923-1.04)","0.57","0.449",0.57,0.449,"MUC2"
"ENSG00000228106.4",0.23,1.3,"(0.944-1.67)","2.44","0.118",2.44,0.118,"RP11-452F19.3"
"ENSG00000241990.4",0.079,1.1,"(0.841-1.39)","0.38","0.539",0.38,0.539,"PRR34-AS1"
"ENSG00000271133.4",-0.2,0.82,"(0.689-0.978)","4.89","0.0271",4.89,0.0271,"CTA-293F17.1"
"ENSG00000264112.1",0.018,1,"(0.863-1.2)","0.04","0.834",0.04,0.834,"RP11-159D12.2"
"ENSG00000222041.9",0.17,1.2,"(0.911-1.56)","1.63","0.201",1.63,0.201,"LINC00152"
"ENSG00000272990.1",0.036,1,"(0.911-1.18)","0.3","0.581",0.3,0.581,"RP11-305K5.1"
"ENSG00000267344.1",0.21,1.2,"(1.01-1.49)","4.41","0.0357",4.41,0.0357,"CTB-39G8.3"
"ENSG00000270673.1",0.06,1.1,"(0.878-1.29)","0.39","0.534",0.39,0.534,"YTHDF3-AS1"
"ENSG00000227359.1",-0.038,0.96,"(0.876-1.06)","0.64","0.423",0.64,0.423,"AC017074.2"
"ENSG00000255717.5",0.1,1.1,"(0.854-1.44)","0.59","0.441",0.59,0.441,"SNHG1"
"ENSG00000247498.8",0.058,1.1,"(0.807-1.39)","0.17","0.678",0.17,0.678,"RP11-392P7.6"
"ENSG00000254531.1",0.11,1.1,"(0.897-1.4)","1","0.318",1,0.318,"FLJ20021"
"ENSG00000263013.1",-0.15,0.86,"(0.733-1)","3.72","0.0538",3.72,0.0538,"RP11-876N24.5"
"ENSG00000273759.1",0.019,1,"(0.9-1.15)","0.09","0.769",0.09,0.769,"RP4-563E14.1"
"ENSG00000233101.9",0.0023,1,"(0.877-1.15)","0","0.973",0,0.973,"HOXB-AS3"
"ENSG00000247828.6",-0.01,0.99,"(0.76-1.29)","0.01","0.938",0.01,0.938,"TMEM161B-AS1"
"ENSG00000213793.4",0.004,1,"(0.862-1.17)","0","0.959",0,0.959,"ZNF888"
"ENSG00000226752.6",0.26,1.3,"(0.974-1.73)","3.16","0.0755",3.16,0.0755,"PSMD5-AS1"
"ENSG00000278922.1",0.2,1.2,"(0.933-1.59)","2.09","0.148",2.09,0.148,"AC002310.14"
"ENSG00000278238.1",0.04,1,"(0.902-1.2)","0.3","0.583",0.3,0.583,"RP11-245D16.4"
"ENSG00000226950.5",-0.14,0.87,"(0.668-1.13)","1.13","0.287",1.13,0.287,"DANCR"
"ENSG00000246582.2",-0.14,0.87,"(0.657-1.15)","0.97","0.324",0.97,0.324,"RP11-1149O23.3"
"ENSG00000272888.4",0.055,1.1,"(0.78-1.43)","0.13","0.722",0.13,0.722,"LINC01578"
"ENSG00000225762.1",-0.031,0.97,"(0.883-1.06)","0.43","0.512",0.43,0.512,"LINC01389"
"ENSG00000273084.1",0.058,1.1,"(0.872-1.29)","0.34","0.561",0.34,0.561,"RP11-1275H24.3"
"ENSG00000262468.4",0.071,1.1,"(0.843-1.37)","0.33","0.566",0.33,0.566,"LINC01569"
"ENSG00000280099.1",-0.037,0.96,"(0.78-1.19)","0.11","0.735",0.11,0.735,"RP11-33E12.2"
"ENSG00000261799.1",-0.086,0.92,"(0.71-1.18)","0.44","0.507",0.44,0.507,"RP11-283I3.6"
"ENSG00000232093.1",0.12,1.1,"(0.908-1.39)","1.14","0.285",1.14,0.285,"RP11-307C12.11"
"ENSG00000261087.1",0.079,1.1,"(0.877-1.33)","0.55","0.46",0.55,0.46,"KB-1460A1.5"
"ENSG00000253414.2",-0.1,0.9,"(0.816-1)","3.84","0.0502",3.84,0.0502,"RP11-150O12.6"
"ENSG00000266490.1",0.075,1.1,"(0.95-1.22)","1.35","0.244",1.35,0.244,"CTD-2349P21.9"
"ENSG00000269044.2",0.11,1.1,"(0.813-1.53)","0.45","0.504",0.45,0.504,"CTC-429P9.3"
"ENSG00000234771.3",0.21,1.2,"(0.975-1.56)","3.06","0.0803",3.06,0.0803,"SLC25A25-AS1"
"ENSG00000280734.1",0.037,1,"(0.831-1.3)","0.11","0.744",0.11,0.744,"LINC01232"
"ENSG00000163597.13",-0.43,0.65,"(0.443-0.95)","4.93","0.0263",4.93,0.0263,"SNHG16"
"ENSG00000273723.1",0.049,1,"(0.889-1.24)","0.33","0.566",0.33,0.566,"RP11-93H24.3"
"ENSG00000246263.2",-0.033,0.97,"(0.778-1.2)","0.09","0.764",0.09,0.764,"KB-431C1.4"
"ENSG00000229891.1",-0.11,0.9,"(0.766-1.05)","1.72","0.19",1.72,0.19,"LINC01315"
"ENSG00000272009.1",0.15,1.2,"(0.879-1.54)","1.12","0.29",1.12,0.29,"RP1-313I6.12"
"ENSG00000224272.2",-0.12,0.88,"(0.796-0.98)","5.45","0.0196",5.45,0.0196,"AC114730.3"
"ENSG00000262714.1",-0.043,0.96,"(0.886-1.04)","1.14","0.286",1.14,0.286,"RP11-44F14.8"
"ENSG00000233621.1",-0.057,0.94,"(0.711-1.25)","0.16","0.692",0.16,0.692,"LINC01137"
"ENSG00000255468.5",0.022,1,"(0.77-1.36)","0.02","0.877",0.02,0.877,"RP11-867G23.8"
"ENSG00000241224.5",-0.011,0.99,"(0.917-1.07)","0.08","0.778",0.08,0.778,"FLJ22763"
"ENSG00000184068.2",-0.035,0.97,"(0.713-1.31)","0.05","0.821",0.05,0.821,"RP5-821D11.7"
"ENSG00000262823.1",-0.0059,0.99,"(0.838-1.18)","0","0.946",0,0.946,"RP13-580F15.2"
"ENSG00000238164.5",0.23,1.3,"(1.02-1.56)","4.49","0.034",4.49,0.034,"RP3-395M20.8"
"ENSG00000235501.4",-0.017,0.98,"(0.834-1.16)","0.04","0.837",0.04,0.837,"RP4-639F20.1"
"ENSG00000273132.1",0.03,1,"(0.936-1.14)","0.37","0.54",0.37,0.54,"RP11-350J20.12"
"ENSG00000251322.6",0.29,1.3,"(1.08-1.65)","7.04","0.00796",7.04,0.00796,"SHANK3"
"ENSG00000272518.1",-0.011,0.99,"(0.827-1.18)","0.02","0.901",0.02,0.901,"RP11-26J3.3"
"ENSG00000254827.4",0.029,1,"(0.837-1.27)","0.08","0.782",0.08,0.782,"SLC22A18AS"
"ENSG00000270696.1",-0.016,0.98,"(0.745-1.3)","0.01","0.912",0.01,0.912,"RP11-342K6.1"
"ENSG00000271533.1",0.014,1,"(0.878-1.17)","0.03","0.853",0.03,0.853,"RP3-368A4.6"
"ENSG00000272849.1",0.2,1.2,"(1.01-1.48)","4.32","0.0378",4.32,0.0378,"RP11-347I19.8"
"ENSG00000258655.2",0.094,1.1,"(0.87-1.39)","0.63","0.429",0.63,0.429,"ARHGAP5-AS1"
"ENSG00000255857.4",0.29,1.3,"(0.945-1.87)","2.67","0.102",2.67,0.102,"PXN-AS1"
"ENSG00000269186.1",-0.029,0.97,"(0.911-1.04)","0.81","0.368",0.81,0.368,"LINC01082"
"ENSG00000272842.1",0.02,1,"(0.921-1.13)","0.15","0.702",0.15,0.702,"RP11-513M16.7"
"ENSG00000243766.6",-0.032,0.97,"(0.906-1.04)","0.88","0.35",0.88,0.35,"HOTTIP"
"ENSG00000267510.1",0.056,1.1,"(0.941-1.19)","0.89","0.346",0.89,0.346,"CTC-325H20.4"
"ENSG00000260877.1",0.068,1.1,"(0.985-1.16)","2.54","0.111",2.54,0.111,"RP11-211G23.2"
"ENSG00000237523.1",0.12,1.1,"(0.902-1.4)","1.09","0.296",1.09,0.296,"LINC00857"
"ENSG00000275888.1",0.22,1.3,"(1.04-1.5)","5.63","0.0176",5.63,0.0176,"RP13-516M14.10"
"ENSG00000247400.3",-0.018,0.98,"(0.806-1.2)","0.03","0.86",0.03,0.86,"DNAJC3-AS1"
"ENSG00000272455.1",0.13,1.1,"(0.882-1.46)","0.98","0.323",0.98,0.323,"RP4-758J18.13"
"ENSG00000277782.1",0.13,1.1,"(0.949-1.36)","1.92","0.166",1.92,0.166,"RP11-775C24.5"
"ENSG00000258534.1",0.15,1.2,"(0.955-1.42)","2.27","0.132",2.27,0.132,"CTD-2134A5.4"
"ENSG00000232640.1",0.021,1,"(0.838-1.24)","0.04","0.836",0.04,0.836,"RP1-266L20.2"
"ENSG00000245556.2",0.14,1.2,"(0.854-1.56)","0.87","0.351",0.87,0.351,"SCAMP1-AS1"
"ENSG00000260917.1",0.0078,1,"(0.793-1.28)","0","0.949",0,0.949,"RP11-57H14.4"
"ENSG00000268087.1",-0.037,0.96,"(0.805-1.15)","0.16","0.692",0.16,0.692,"CTC-429P9.2"
"ENSG00000223400.1",-0.026,0.97,"(0.911-1.04)","0.55","0.457",0.55,0.457,"AP006748.1"
"ENSG00000273456.1",0.22,1.2,"(0.995-1.56)","3.66","0.0557",3.66,0.0557,"RP11-686O6.2"
"ENSG00000272899.2",0.12,1.1,"(0.946-1.34)","1.77","0.183",1.77,0.183,"RP11-309L24.4"
"ENSG00000253929.1",-0.041,0.96,"(0.897-1.03)","1.37","0.242",1.37,0.242,"CASC21"
"ENSG00000278784.1",0.19,1.2,"(0.891-1.65)","1.49","0.222",1.49,0.222,"RP11-468E2.11"
"ENSG00000241359.1",-0.08,0.92,"(0.849-1)","3.61","0.0575",3.61,0.0575,"SYNPR-AS1"
"ENSG00000247679.2",0.045,1,"(0.84-1.3)","0.16","0.685",0.16,0.685,"RP11-1277A3.1"
"ENSG00000272172.1",0.09,1.1,"(0.914-1.31)","0.97","0.325",0.97,0.325,"RP13-582O9.7"
"ENSG00000278912.1",0.055,1.1,"(0.931-1.2)","0.74","0.391",0.74,0.391,"CTD-2196E14.8"
"ENSG00000268970.1",0.1,1.1,"(0.955-1.28)","1.83","0.176",1.83,0.176,"CTD-3099C6.11"
"ENSG00000260121.1",0.16,1.2,"(0.958-1.44)","2.39","0.123",2.39,0.123,"RP5-1142A6.9"
"ENSG00000223813.2",0.056,1.1,"(0.873-1.28)","0.32","0.569",0.32,0.569,"AC007255.8"
"ENSG00000272068.1",0.13,1.1,"(0.986-1.31)","3.15","0.0761",3.15,0.0761,"RP11-284F21.9"
"ENSG00000258122.1",0.03,1,"(0.941-1.13)","0.42","0.515",0.42,0.515,"RP11-61A14.1"
"ENSG00000182873.5",0.21,1.2,"(0.995-1.52)","3.66","0.0556",3.66,0.0556,"RP11-181G12.2"
"ENSG00000271869.1",-0.05,0.95,"(0.838-1.08)","0.6","0.438",0.6,0.438,"RP11-51J9.5"
"ENSG00000258512.1",0.085,1.1,"(0.927-1.28)","1.07","0.301",1.07,0.301,"LINC00239"
"ENSG00000256643.1",-0.0021,1,"(0.943-1.06)","0.01","0.943",0.01,0.943,"RP11-349K16.1"
"ENSG00000255198.4",0.039,1,"(0.867-1.25)","0.18","0.673",0.18,0.673,"SNHG9"
"ENSG00000229043.2",0.16,1.2,"(0.925-1.49)","1.73","0.188",1.73,0.188,"AC091729.9"
"ENSG00000246898.1",-0.069,0.93,"(0.844-1.03)","1.79","0.181",1.79,0.181,"LINC00920"
"ENSG00000224259.4",0.094,1.1,"(0.928-1.3)","1.19","0.275",1.19,0.275,"LINC01133"
"ENSG00000235245.1",0.26,1.3,"(1.07-1.56)","6.79","0.00917",6.79,0.00917,"RP11-122K13.12"
"ENSG00000245937.6",0.059,1.1,"(0.753-1.49)","0.11","0.737",0.11,0.737,"LINC01184"
"ENSG00000272153.1",0.12,1.1,"(0.932-1.37)","1.53","0.216",1.53,0.216,"RP1-286D6.5"
"ENSG00000279117.1",-0.15,0.86,"(0.678-1.09)","1.6","0.206",1.6,0.206,"CTD-2562J17.6"
"ENSG00000177410.11",-0.16,0.85,"(0.668-1.08)","1.81","0.178",1.81,0.178,"ZFAS1"
"ENSG00000234753.4",0.0083,1,"(0.847-1.2)","0.01","0.926",0.01,0.926,"FOXP4-AS1"
"ENSG00000236618.2",0.14,1.2,"(0.917-1.45)","1.48","0.223",1.48,0.223,"PITPNA-AS1"
"ENSG00000126005.14",-0.12,0.89,"(0.691-1.14)","0.85","0.357",0.85,0.357,"MMP24-AS1"
"ENSG00000260018.1",0.035,1,"(0.877-1.22)","0.17","0.679",0.17,0.679,"RP11-505K9.1"
"ENSG00000196741.5",0.013,1,"(0.831-1.24)","0.02","0.895",0.02,0.895,"LINC01560"
"ENSG00000274173.1",0.025,1,"(0.87-1.21)","0.09","0.765",0.09,0.765,"RP4-568C11.4"
"ENSG00000262050.1",0.075,1.1,"(0.927-1.25)","0.96","0.328",0.96,0.328,"RP11-74E22.3"
"ENSG00000223891.4",0.0065,1,"(0.844-1.2)","0.01","0.942",0.01,0.942,"OSER1-AS1"
"ENSG00000281404.1",0.11,1.1,"(0.952-1.3)","1.77","0.183",1.77,0.183,"LINC01176"
"ENSG00000247556.5",0.14,1.1,"(0.841-1.57)","0.76","0.383",0.76,0.383,"OIP5-AS1"
"ENSG00000229167.1",0.015,1,"(0.9-1.15)","0.06","0.806",0.06,0.806,"RP11-73M7.1"
"ENSG00000267152.1",0.041,1,"(0.878-1.24)","0.22","0.639",0.22,0.639,"CTD-2528L19.6"
"ENSG00000233695.2",0.07,1.1,"(0.952-1.21)","1.32","0.25",1.32,0.25,"GAS6-AS1"
"ENSG00000255224.1",-0.0097,0.99,"(0.771-1.27)","0.01","0.94",0.01,0.94,"CTD-3065J16.9"
"ENSG00000225953.2",-0.022,0.98,"(0.897-1.07)","0.26","0.611",0.26,0.611,"SATB2-AS1"
"ENSG00000272760.1",-0.0036,1,"(0.821-1.21)","0","0.971",0,0.971,"RP11-5C23.1"
"ENSG00000246451.2",0.14,1.2,"(0.948-1.4)","2.02","0.155",2.02,0.155,"RP11-894P9.1"
"ENSG00000239569.3",0.32,1.4,"(1.07-1.76)","6.24","0.0125",6.24,0.0125,"KMT2E-AS1"
"ENSG00000237643.1",-0.015,0.99,"(0.941-1.03)","0.4","0.527",0.4,0.527,"RP11-462G2.1"
"ENSG00000261183.4",0.26,1.3,"(0.953-1.75)","2.72","0.0989",2.72,0.0989,"RP11-532F12.5"
"ENSG00000259330.1",0.15,1.2,"(0.89-1.5)","1.18","0.276",1.18,0.276,"INAFM2"
"ENSG00000179859.7",0.13,1.1,"(0.856-1.52)","0.81","0.367",0.81,0.367,"AC025335.1"
"ENSG00000234694.1",0.11,1.1,"(0.939-1.33)","1.56","0.212",1.56,0.212,"RP1-92O14.3"
"ENSG00000167117.7",-0.015,0.99,"(0.863-1.12)","0.05","0.824",0.05,0.824,"LINC00483"
"ENSG00000270871.1",0.044,1,"(0.926-1.18)","0.51","0.477",0.51,0.477,"AC015849.19"
"ENSG00000253161.4",-0.025,0.98,"(0.835-1.14)","0.1","0.758",0.1,0.758,"RP11-150O12.1"
"ENSG00000278970.1",0.28,1.3,"(0.897-1.95)","1.99","0.158",1.99,0.158,"HEIH"
"ENSG00000225489.5",0.073,1.1,"(0.936-1.24)","1.05","0.304",1.05,0.304,"RP11-390F4.3"
"ENSG00000256001.1",-0.021,0.98,"(0.923-1.04)","0.48","0.488",0.48,0.488,"RP11-575F12.2"
"ENSG00000229719.3",0.063,1.1,"(0.881-1.29)","0.42","0.516",0.42,0.516,"AP001187.9"
"ENSG00000223552.1",-0.061,0.94,"(0.791-1.12)","0.48","0.49",0.48,0.49,"RP11-24F11.2"
"ENSG00000279095.1",0.049,1.1,"(0.784-1.41)","0.11","0.742",0.11,0.742,"AC092066.1"
"ENSG00000273058.2",0.12,1.1,"(0.887-1.43)","0.95","0.33",0.95,0.33,"RP11-385F5.5"
"ENSG00000235919.4",0.22,1.2,"(0.937-1.65)","2.27","0.132",2.27,0.132,"ASH1L-AS1"
"ENSG00000204261.7",-0.014,0.99,"(0.754-1.29)","0.01","0.92",0.01,0.92,"PSMB8-AS1"
"ENSG00000268836.1",0.085,1.1,"(0.941-1.26)","1.31","0.252",1.31,0.252,"LA16c-OS12.2"
"ENSG00000235106.7",-0.045,0.96,"(0.675-1.36)","0.06","0.801",0.06,0.801,"LINC00094"
"ENSG00000204620.3",0.096,1.1,"(0.885-1.37)","0.74","0.388",0.74,0.388,"RP11-1148L6.9"
"ENSG00000226287.6",0.14,1.1,"(0.943-1.39)","1.88","0.17",1.88,0.17,"TMEM191A"
"ENSG00000268001.1",-0.17,0.84,"(0.669-1.05)","2.29","0.13",2.29,0.13,"CARD8-AS1"
"ENSG00000279453.1",0.1,1.1,"(0.879-1.4)","0.77","0.38",0.77,0.38,"RP3-425C14.4"
"ENSG00000272502.1",0.091,1.1,"(0.95-1.26)","1.56","0.211",1.56,0.211,"RP11-713M15.2"
"ENSG00000224167.1",0.043,1,"(0.939-1.16)","0.63","0.428",0.63,0.428,"RP3-522D1.1"
"ENSG00000229180.5",0.23,1.3,"(0.99-1.6)","3.52","0.0607",3.52,0.0607,"GS1-124K5.11"
"ENSG00000259953.1",0.27,1.3,"(0.992-1.73)","3.61","0.0573",3.61,0.0573,"RP11-4O1.2"
"ENSG00000234678.1",0.15,1.2,"(0.885-1.53)","1.17","0.279",1.17,0.279,"RP11-465N4.4"
"ENSG00000203875.9",-0.074,0.93,"(0.78-1.11)","0.69","0.406",0.69,0.406,"SNHG5"
"ENSG00000270170.1",0.15,1.2,"(0.836-1.61)","0.78","0.377",0.78,0.377,"NCBP2-AS2"
"ENSG00000272669.1",0.19,1.2,"(0.991-1.47)","3.49","0.0618",3.49,0.0618,"RP3-508I15.21"
"ENSG00000272141.1",0.08,1.1,"(0.918-1.28)","0.9","0.342",0.9,0.342,"RP11-465B22.8"
"ENSG00000215908.6",0.018,1,"(0.773-1.34)","0.02","0.899",0.02,0.899,"CROCCP2"
"ENSG00000229931.1",0.055,1.1,"(0.906-1.23)","0.49","0.483",0.49,0.483,"RP1-151F17.1"
"ENSG00000267519.3",0.13,1.1,"(0.934-1.4)","1.68","0.195",1.68,0.195,"CTD-3252C9.4"
"ENSG00000265933.4",0.027,1,"(0.943-1.12)","0.37","0.543",0.37,0.543,"LINC00668"
"ENSG00000229155.1",0.025,1,"(0.875-1.2)","0.1","0.756",0.1,0.756,"RP11-528A4.2"
"ENSG00000261437.1",0.049,1.1,"(0.853-1.29)","0.22","0.642",0.22,0.642,"RP11-22C11.2"
"ENSG00000259153.1",0.11,1.1,"(0.911-1.37)","1.14","0.287",1.14,0.287,"RP6-65G23.3"
"ENSG00000269131.1",0.22,1.2,"(0.948-1.63)","2.47","0.116",2.47,0.116,"AC004447.2"
"ENSG00000271870.1",0.14,1.1,"(0.926-1.42)","1.59","0.208",1.59,0.208,"RP11-97C16.1"
"ENSG00000272933.1",0.15,1.2,"(0.965-1.41)","2.54","0.111",2.54,0.111,"RP11-47A8.5"
"ENSG00000235437.6",0.22,1.3,"(0.955-1.64)","2.64","0.104",2.64,0.104,"LINC01278"
"ENSG00000248367.1",0.13,1.1,"(0.965-1.35)","2.4","0.122",2.4,0.122,"CTB-129O4.1"
"ENSG00000120055.7",0.038,1,"(0.828-1.3)","0.11","0.74",0.11,0.74,"C10orf95"
"ENSG00000225302.2",0.013,1,"(0.783-1.31)","0.01","0.921",0.01,0.921,"RP11-539I5.1"
"ENSG00000257086.1",0.22,1.2,"(0.969-1.6)","2.93","0.0868",2.93,0.0868,"RP11-783K16.13"
"ENSG00000267321.1",0.033,1,"(0.801-1.33)","0.06","0.801",0.06,0.801,"RP11-1094M14.11"
"ENSG00000275557.1",0.047,1,"(0.939-1.17)","0.72","0.398",0.72,0.398,"RP11-353N4.6"
"ENSG00000258056.2",0.48,1.6,"(1.14-2.29)","7.31","0.00686",7.31,0.00686,"RP11-644F5.11"
"ENSG00000260822.1",-0.16,0.85,"(0.659-1.09)","1.59","0.207",1.59,0.207,"GS1-358P8.4"
"ENSG00000267481.1",0.0017,1,"(0.845-1.19)","0","0.984",0,0.984,"CTC-559E9.5"
"ENSG00000255320.1",-0.054,0.95,"(0.812-1.11)","0.47","0.494",0.47,0.494,"RP11-755F10.1"
"ENSG00000258424.1",0.03,1,"(0.95-1.12)","0.52","0.471",0.52,0.471,"RP11-471B22.2"
"ENSG00000274561.1",0.027,1,"(0.893-1.18)","0.14","0.706",0.14,0.706,"RP11-147L13.12"
"ENSG00000227403.1",-0.044,0.96,"(0.841-1.09)","0.44","0.506",0.44,0.506,"AC009299.3"
"ENSG00000248866.1",-0.049,0.95,"(0.779-1.16)","0.23","0.633",0.23,0.633,"USP46-AS1"
"ENSG00000270761.1",0.04,1,"(0.848-1.28)","0.15","0.701",0.15,0.701,"RP11-385F7.1"
"ENSG00000269940.1",0.02,1,"(0.928-1.12)","0.17","0.679",0.17,0.679,"RP11-73M18.7"
"ENSG00000223745.6",0.093,1.1,"(0.899-1.34)","0.83","0.361",0.83,0.361,"RP4-717I23.3"
